id_stand,id_presc,ttotal,S,NPV,EAA,   0.030,   0.040,   0.050,   0.000,   0.000,maiV,Vharv,Vuharv
SSB101         ,SSB101_1       ,   42, 25.6,      4461.0,       221.0,       282.1,       221.0,       171.1,         0.0,         0.0,         0.0,       787.9,       610.4
SSB101         ,SSB101_2       ,   42, 25.6,      8376.1,       415.0,       414.9,       415.0,       421.6,         0.0,         0.0,         0.0,       736.0,       316.8
SSB101         ,SSB101_3       ,   42, 25.6,      7808.1,       386.8,       388.9,       386.8,       391.5,         0.0,         0.0,         0.0,       709.2,       317.0
SSB102         ,SSB101_1       ,   42, 23.3,      3837.1,       190.1,       242.9,       190.1,       146.9,         0.0,         0.0,         0.0,       697.0,       534.0
SSB102         ,SSB101_2       ,   42, 23.3,      6828.0,       338.3,       345.2,       338.3,       336.5,         0.0,         0.0,         0.0,       654.9,       281.3
SSB102         ,SSB101_3       ,   42, 23.3,      6319.9,       313.1,       322.6,       313.1,       309.7,         0.0,         0.0,         0.0,       641.0,       305.5
SSB103         ,SSB101_1       ,   42, 25.3,      4140.0,       205.1,       261.9,       205.1,       158.6,         0.0,         0.0,         0.0,       737.3,       569.9
SSB103         ,SSB101_2       ,   42, 25.3,      6626.1,       328.3,       339.5,       328.3,       322.7,         0.0,         0.0,         0.0,       653.5,       306.1
SSB103         ,SSB101_3       ,   42, 25.3,      6467.2,       320.4,       328.0,       320.4,       318.1,         0.0,         0.0,         0.0,       623.4,       287.7
SSB104         ,SSB101_1       ,   42, 25.4,      4181.5,       207.2,       264.5,       207.2,       160.2,         0.0,         0.0,         0.0,       729.3,       565.1
SSB104         ,SSB101_2       ,   42, 25.4,      6623.4,       328.1,       349.9,       328.1,       311.1,         0.0,         0.0,         0.0,       671.7,       319.5
SSB104         ,SSB101_3       ,   42, 25.4,      6412.0,       317.7,       337.7,       317.7,       303.3,         0.0,         0.0,         0.0,       656.5,       336.2
SSB205         ,SSB101_1       ,   42, 23.3,      3951.4,       195.8,       250.1,       195.8,       151.3,         0.0,         0.0,         0.0,       713.8,       547.2
SSB205         ,SSB101_2       ,   42, 23.3,      8208.5,       406.7,       403.5,       406.7,       416.1,         0.0,         0.0,         0.0,       720.7,       289.6
SSB205         ,SSB101_3       ,   42, 23.3,      7591.5,       376.1,       374.3,       376.1,       384.0,         0.0,         0.0,         0.0,       686.1,       285.8
SSB206         ,SSB101_1       ,   42, 24.5,      4010.3,       198.7,       253.8,       198.7,       153.6,         0.0,         0.0,         0.0,       716.3,       552.2
SSB206         ,SSB101_2       ,   42, 24.5,      7616.3,       377.3,       381.0,       377.3,       379.3,         0.0,         0.0,         0.0,       690.2,       298.7
SSB206         ,SSB101_3       ,   42, 24.5,      7244.7,       358.9,       363.1,       358.9,       360.8,         0.0,         0.0,         0.0,       673.2,       304.7
SSB207         ,SSB101_1       ,   42, 24.7,      3920.9,       194.2,       248.2,       194.2,       150.1,         0.0,         0.0,         0.0,       701.7,       541.2
SSB207         ,SSB101_2       ,   42, 24.7,      6894.5,       341.6,       351.3,       341.6,       337.8,         0.0,         0.0,         0.0,       669.8,       314.9
SSB207         ,SSB101_3       ,   42, 24.7,      6593.8,       326.7,       335.8,       326.7,       323.6,         0.0,         0.0,         0.0,       648.7,       312.4
SSB208         ,SSB101_1       ,   42, 23.7,      3916.0,       194.0,       247.9,       194.0,       149.9,         0.0,         0.0,         0.0,       699.4,       537.7
SSB208         ,SSB101_2       ,   42, 23.7,      5871.9,       290.9,       312.7,       290.9,       274.3,         0.0,         0.0,         0.0,       634.2,       320.6
SSB208         ,SSB101_3       ,   42, 23.7,      5681.4,       281.5,       301.3,       281.5,       267.0,         0.0,         0.0,         0.0,       615.2,       321.2
SSB309         ,SSB101_1       ,   42, 23.5,      4092.9,       202.8,       259.0,       202.8,       156.8,         0.0,         0.0,         0.0,       731.5,       561.1
SSB309         ,SSB101_2       ,   42, 23.5,      6754.3,       334.6,       341.5,       334.6,       333.0,         0.0,         0.0,         0.0,       650.1,       279.8
SSB309         ,SSB101_3       ,   42, 23.5,      6459.0,       320.0,       324.4,       320.0,       321.4,         0.0,         0.0,         0.0,       625.3,       286.1
SSB310         ,SSB101_1       ,   42, 21.7,      3380.5,       167.5,       214.3,       167.5,       129.2,         0.0,         0.0,         0.0,       629.1,       478.4
SSB310         ,SSB101_2       ,   42, 21.7,      5970.4,       295.8,       302.2,       295.8,       294.5,         0.0,         0.0,         0.0,       609.7,       265.9
SSB310         ,SSB101_3       ,   42, 21.7,      5480.3,       271.5,       278.9,       271.5,       269.0,         0.0,         0.0,         0.0,       579.8,       258.5
SSB311         ,SSB101_1       ,   42, 23.3,      3790.5,       187.8,       240.0,       187.8,       145.1,         0.0,         0.0,         0.0,       684.8,       525.2
SSB311         ,SSB101_2       ,   42, 23.3,      6143.3,       304.3,       321.0,       304.3,       293.1,         0.0,         0.0,         0.0,       639.3,       309.7
SSB311         ,SSB101_3       ,   42, 23.3,      5780.9,       286.4,       304.0,       286.4,       275.0,         0.0,         0.0,         0.0,       627.0,       334.5
SSB312         ,SSB101_1       ,   42, 21.7,      3369.6,       166.9,       213.6,       166.9,       128.8,         0.0,         0.0,         0.0,       620.5,       471.8
SSB312         ,SSB101_2       ,   42, 21.7,      4990.5,       247.2,       263.4,       247.2,       235.2,         0.0,         0.0,         0.0,       551.3,       260.6
SSB312         ,SSB101_3       ,   42, 21.7,      4814.5,       238.5,       251.3,       238.5,       230.2,         0.0,         0.0,         0.0,       526.5,       258.3
