id_par,AreaUG,id_presc,tlag,CoordX,CoordY,id_meteo,Altitude,year,month,composition,PlotType,Sp1,Sp2,Structure,S,rot,t,tst,tsd,Narvp,Aplot,Plot_shape,lenght1,lenght2,CoordX1,CoordY1,CoordX2,CoordY2,CoordX3,CoordY3,CoordX4,CoordY4
SSB101,1,all,0,0,0,23,500,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,229,1000,4,0,0,10,20,20,30,20,3,50,80
SSB102,1,all,0,0,0,23,510,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,192,1000,0,0,0,0,0,0,0,0,0,0,0
SSB103,1,all,0,0,0,23,525,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,159,1000,0,0,0,0,0,0,0,0,0,0,0
SSB104,1,all,0,0,0,23,620,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,78,1000,0,0,0,0,0,0,0,0,0,0,0
SSB205,1,all,0,0,0,23,680,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,309,1000,0,0,0,0,0,0,0,0,0,0,0
SSB206,1,all,0,0,0,23,540,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,180,1000,0,0,0,0,0,0,0,0,0,0,0
SSB207,1,all,0,0,0,23,535,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,151,1000,0,0,0,0,0,0,0,0,0,0,0
SSB208,1,all,0,0,0,23,535,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,94,1000,0,0,0,0,0,0,0,0,0,0,0
SSB309,1,all,0,0,0,23,540,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,251,1000,0,0,0,0,0,0,0,0,0,0,0
SSB310,1,all,0,0,0,23,540,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,279,1000,0,0,0,0,0,0,0,0,0,0,0
SSB311,1,all,0,0,0,23,515,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,122,1000,0,0,0,0,0,0,0,0,0,0,0
SSB312,1,all,0,0,0,23,540,1990,5,Pure,povoamento,Pb,Pb,R,0,1,28,9999,9999,141,1000,0,0,0,0,0,0,0,0,0,0,0
